p: 5.39500335463, r: 82.2117836807, y: 186.426369717
p: 5.70788492899, r: 82.939799884, y: 185.760016462
p: 5.92640914753, r: 84.6724139707, y: 185.141078379
p: 5.87425339614, r: 86.8457596741, y: 184.490311616
p: 5.63952156559, r: 89.2231026373, y: 183.854981079
p: 5.45861247948, r: 91.7550537627, y: 183.312868965
p: 5.32554716096, r: 93.9360834288, y: 182.994705093
p: 5.04629487674, r: 95.8730840963, y: 183.014184793
p: 4.68916562938, r: 97.4072333763, y: 182.82453776
p: 4.22672468342, r: 98.6457857295, y: 182.824879269
p: 3.84712240614, r: 99.5537091155, y: 182.992642376
p: 3.31626260149, r: 99.9928219772, y: 183.388260593
p: 2.45126887542, r: 99.6394279895, y: 183.863081684
p: 1.43511004298, r: 98.875150312, y: 184.571809433
p: 0.116935266509, r: 97.7626764207, y: 185.470553044
p: 358.738910157, r: 96.2388065754, y: 186.636329732
p: 357.566605943, r: 94.7829312632, y: 187.631392671
p: 356.517155275, r: 93.3747443319, y: 188.542539907
p: 355.445307135, r: 91.7663030842, y: 189.352477399
p: 354.328776111, r: 89.8920308741, y: 190.189885912
p: 353.551346478, r: 87.9824807369, y: 190.990110875
p: 353.005521729, r: 86.2179696667, y: 191.642475903
p: 352.855002715, r: 84.9624101425, y: 192.140410354
p: 352.95001022, r: 83.7875971147, y: 192.57064397
p: 353.222939456, r: 82.5555471016, y: 193.128629444
p: 353.746489251, r: 81.5881395982, y: 193.529110756
p: 354.613989443, r: 80.9047040396, y: 193.602002534
p: 355.540465757, r: 80.3891477007, y: 193.486517696
p: 356.545339623, r: 80.0833259806, y: 193.328685685
p: 357.717719396, r: 80.0520300538, y: 193.004962039
p: 358.86162411, r: 80.410280306, y: 192.354290898
p: 0.247213067439, r: 81.5103505737, y: 191.170291265
p: 1.45386659621, r: 82.8003752324, y: 190.090329075
p: 2.5954055037, r: 84.1771706144, y: 189.154142366
p: 3.64538892703, r: 85.781745975, y: 188.429131446
p: 4.47805173921, r: 87.5657299145, y: 187.893876841
p: 4.9576556699, r: 89.5773913798, y: 187.498518171
p: 5.19190511834, r: 91.4269997768, y: 187.21756517
p: 5.07821320451, r: 93.2106763578, y: 187.160191581
p: 4.6973225828, r: 95.0085050908, y: 187.340399292
p: 4.00832853093, r: 96.4910932728, y: 187.596025952
p: 3.18639957447, r: 97.6889513588, y: 187.914886503
p: 2.04165303939, r: 98.2028479618, y: 188.404597406
p: 0.761056549672, r: 98.1590664492, y: 188.941600539
p: 359.476811352, r: 97.7294953617, y: 189.654822553
p: 358.064578814, r: 96.7371440074, y: 190.432685477
p: 356.815772212, r: 95.2906875261, y: 191.273085612
p: 356.007776628, r: 93.5800803089, y: 192.061439707
p: 355.33665462, r: 91.8026738416, y: 192.461169698
p: 354.77140524, r: 90.081261265, y: 192.865585198
p: 354.270761765, r: 88.3222826481, y: 193.239087263
p: 354.050798511, r: 86.8178651815, y: 193.560953098
p: 353.927683071, r: 85.6612272871, y: 193.662449709
p: 353.927961401, r: 84.6175334008, y: 193.756200885
p: 354.065433045, r: 83.6670374457, y: 193.704550995
p: 354.409710865, r: 82.7843037973, y: 193.431753239
p: 355.234682457, r: 81.9165624142, y: 192.885556672
p: 356.199797578, r: 81.0719343913, y: 192.116736918
p: 357.227211282, r: 80.3435015465, y: 191.203349381
p: 358.265723936, r: 79.733722748, y: 190.205076253
p: 359.265437007, r: 79.177581425, y: 189.375139967
p: 0.220115345783, r: 78.641370594, y: 188.57044806
p: 1.18619233641, r: 78.4353584282, y: 187.83498695
p: 1.99411983196, r: 78.1724098056, y: 186.922022885
p: 2.34287099853, r: 78.3575557434, y: 186.140649244
p: 2.4945483691, r: 78.8499577411, y: 185.409832663
p: 2.73081357711, r: 79.6752153475, y: 184.720393368
p: 3.07583567384, r: 81.1293079803, y: 183.957775426
p: 3.39097419884, r: 83.0483179295, y: 183.166907822
p: 3.72799963815, r: 85.2424274079, y: 182.464655093
p: 3.99957137464, r: 87.4194204323, y: 181.976556114
p: 4.0605790512, r: 89.4880456752, y: 181.696463717
p: 3.99129830801, r: 91.3780751318, y: 181.729945304
p: 3.72989885763, r: 93.2111817918, y: 181.881725768
p: 3.33868163022, r: 94.9676673897, y: 181.99120004
p: 2.9176358995, r: 96.3176679396, y: 182.191201639
p: 2.32585379566, r: 97.1863792095, y: 182.507999473
p: 1.57518068099, r: 97.7415506456, y: 183.143480274
p: 0.6133280423, r: 97.9638254918, y: 183.877097232
p: 359.6938289, r: 97.8387169168, y: 184.497510635
p: 358.506151184, r: 96.9981460262, y: 185.461236666
p: 357.507218089, r: 96.2592971429, y: 186.362343524
p: 356.543572525, r: 95.3914259862, y: 187.28112691
p: 355.291589886, r: 94.490824563, y: 188.07654342
p: 353.881536605, r: 93.3952963711, y: 188.798412453
p: 352.843606545, r: 92.1361714882, y: 189.266403355
p: 351.939323223, r: 91.013015181, y: 189.692675461
p: 350.79744366, r: 89.8008410185, y: 190.022136466
p: 349.98832579, r: 88.51768753, y: 190.207849309
p: 349.926753342, r: 87.6461349014, y: 190.241412859
p: 350.29667468, r: 86.9809974196, y: 189.964626273
