Var1,Var2_1,Var2_2,Var2_3
0,0,0,0
6.3844522627532e-05,-0.000167261424820461,1.1868362396168e-05,6.47999589782084e-07
0.000191533567882596,-0.000501784274837439,3.56050872202949e-05,1.96435634897377e-06
0.00031922261313766,-0.000836307125611781,5.9341812109047e-05,3.32392597264673e-06
0.000483660786284148,-0.00126710623208282,8.99100075406045e-05,5.1468574789813e-06
0.00130585165201659,-0.00342110178526012,0.0002427509866604,1.59408670217855e-05
0.00240875665831517,-0.00631051910942589,0.000447775261959192,3.64297804519863e-05
0.00351166166461375,-0.0091999365273364,0.000652799547828464,6.66139616548474e-05
0.00461456667091234,-0.0120893540734754,0.00085782384898457,0.000109712437337055
0.00571747167721092,-0.0149787717939572,0.0010628481714867,0.000168944234151548
0.0068203766835095,-0.0178681897462279,0.00126787252273711,0.000247528378660206
0.00792328168980809,-0.0207576079988148,0.00147289691148107,0.000348683897292976
0.00902618669610667,-0.0236470266311677,0.00167792134780682,0.000475629816301719
0.0101290917024053,-0.0265364457335586,0.00188294584314476,0.000631581255930924
0.0112319967087038,-0.0294258654069762,0.00208797041025888,0.000819716074858159
0.0123349017150024,-0.0323152857629191,0.00229299506322587,0.00104314935090742
0.013437806721301,-0.0352047069231614,0.00249801981741597,0.00130496678593115
0.0147645240319657,-0.0386804790328872,0.00274465036482326,0.00167527672416567
0.0160912413426304,-0.0421562527485502,0.00299128111448112,0.00211096697657344
0.017417958653295,-0.045632028341032,0.00323791210054983,0.00261740935190387
0.0190910534694733,-0.0500152577299987,0.00354893355758522,0.00336560292441423
0.0207641482856516,-0.0543984912069489,0.00385995552959613,0.00424478588488191
0.0228164793961852,-0.059775268070973,0.00424147692184719,0.00551267392644572
0.0248688105067188,-0.0651520534133039,0.00462299938215135,0.00699625972187965
0.0273851752210258,-0.0717445475793702,0.00509078607339666,0.00911907631800005
0.0310819101763095,-0.0814294654422498,0.00577800511254452,0.0128662653119936
0.0347786451315932,-0.0911144291454085,0.00646522992879008,0.0173814184446856
0.0384753800868769,-0.10079944729879,0.00715246160563127,0.0226781096159984
0.0434261044302531,-0.113769873906234,0.00807282560701185,0.0310116398650424
0.0523251921195068,-0.137084996267047,0.00972725513652473,0.0496286721197774
0.0612242798087604,-0.160400678762672,0.0113817553684415,0.073012692863147
0.0737050949039875,-0.19310171925443,0.0137023151193049,0.11403481488401
0.0861859099992145,-0.225804472602028,0.0160230916115224,0.164803822804197
0.1,-0.262003168794597,0.0185920968777388,0.232491249271211
0.125134547668979,-0.327874490684616,0.0232674237106622,0.386984991017554
0.158566655420255,-0.415512495117071,0.0294888757511085,0.655823277300089
0.2,-0.524167167078186,0.0372048190045242,1.09064370274674
0.241433344579745,-0.632880099851775,0.0449284931180942,1.63962617073419
0.282866689159491,-0.741663123951417,0.0526617201405284,2.30471546538782
0.3,-0.786669331604392,0.0558626996162222,2.61407357788132
0.335365196430667,-0.87961485426222,0.0624767200177218,3.31705918825423
0.370730392861334,-0.972628535259783,0.0691008115453263,4.10768357336622
0.4,-1.04966555968159,0.0745916188731693,4.82910862185029
0.429269607138666,-1.12675570815307,0.080090851277887,5.61202155406203
0.458539214277332,-1.20390144051058,0.0855992182309251,6.45710266165543
0.487808821415999,-1.28110495170763,0.0911174408495446,7.36502908237018
0.5,-1.31327869829503,0.0934189134269307,7.76187180420785
0.533637984232563,-1.40210773464919,0.0997792026074587,8.91444133503798
0.567275968465125,-1.49101924200342,0.106155026287772,10.1522072069
0.6,-1.57759640443288,0.112373623740938,11.4389777163528
0.632724031534875,-1.66425604776409,0.118609111939069,12.8081045101082
0.665448063069749,-1.75100046696516,0.124862601056833,14.2604344205458
0.7,-1.84268520497005,0.131486198886551,15.8851319637182
0.734551936930251,-1.93447109128954,0.138132484740351,17.6044853031688
0.769103873860501,-2.0263628236878,0.144802844145065,19.4193984889186
0.8,-2.10862623205089,0.150788957977018,21.1239011803672
0.840697619610956,-2.21713294040004,0.158707033656395,23.4878668743301
0.881395239221912,-2.32581948535488,0.166664662265103,25.9880179385766
0.9,-2.3755695391305,0.170316229058761,27.1766425521075
0.928700567933389,-2.45240337961972,0.175967120161119,29.0669605499719
0.957401135866778,-2.52935037784296,0.181640364335355,31.0264277446275
0.986101703800167,-2.60642070219945,0.187336868114104,33.0554611829259
1,-2.64378943122651,0.190104013078925,34.0631324531743
1.02819436436013,-2.71969997281836,0.195735412381743,36.1579309328195
1.05638872872026,-2.79575872084259,0.201391480502138,38.3208194100572
1.08458309308038,-2.87197915403883,0.207073129207714,40.5521765412502
1.1,-2.91373015146935,0.210191021174252,41.8013799721055
1.13343306307728,-3.00446556699327,0.216980542607895,44.5814550383934
1.16686612615455,-3.0954861997665,0.223809653794911,47.4592383048905
1.2,-3.18600037156014,0.230618307205435,50.4082624135129
1.23313387384545,-3.27684835665751,0.237469054598526,53.4544287876698
1.2662677476909,-3.36805731419206,0.244363544134987,56.5983159331197
1.3,-3.46131210373547,0.251429223143593,59.8999621892552
1.3337322523091,-3.55499658700234,0.258543797512195,63.3041444946952
1.36746450461821,-3.64913762389835,0.2657091229614,66.8116446169426
1.4,-3.74039531876288,0.272670086098513,70.2934652982779
1.43253549538179,-3.83212402863055,0.279681777880068,73.8732408984519
1.46507099076358,-3.92434504464572,0.286745989701528,77.5519771308746
1.5,-4.02392195756905,0.294390468106714,81.6126539069418
1.53492900923642,-4.12411408526964,0.302099928528849,85.7896755468104
1.56985801847283,-4.22494508137121,0.309876761747407,90.0838174334157
1.6,-4.31248788468409,0.316643761756773,93.8837805310423
